statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-4vcpu-8gb-5-default-pool-8ag0qCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0qMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0cCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0cMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag07CpuUsage,s-4vcpu-8gb-5-default-pool-8ag07MemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0mCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0mMemoryUsage,s-4vcpu-8gb-5-default-pool-8ag0uCpuUsage,s-4vcpu-8gb-5-default-pool-8ag0uMemoryUsage,functionInvocationRate
500,40.44999980926514,1623494002.331,1623494042.781,ef0e9285-89d2-4e68-8f31-39de1e840388,3,27349476n,671088Ki,47526764n,621444Ki,3999409878n,2264240Ki,68065989n,657024Ki,58401031n,744860Ki,
500,58.73399996757507,1623493989.331,1623494048.065,55211af0-9950-4467-ac59-c3fccbf16fec,3,27349476n,671088Ki,47526764n,621444Ki,3999409878n,2264240Ki,68065989n,657024Ki,58401031n,744860Ki,
500,58.230000019073486,1623493990.331,1623494048.561,8672d5c2-1be5-4ca2-9894-d54fadf99322,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,58.513999938964844,1623493993.331,1623494051.845,8fc1d66e-c5ef-422d-bb38-81c223570698,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.125,1623493994.331,1623494054.456,1dbe11b5-b3b0-48e5-ad3b-9267919daa9a,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,54.2960000038147,1623494000.333,1623494054.629,491b633f-7a7d-4658-bf97-50719c057d28,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.133999824523926,1623493996.334,1623494056.468,543f5603-4207-4d9b-9a56-e400cd2cea2d,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,55.276999950408936,1623494001.335,1623494056.612,fea8e848-3379-4b19-b491-be1bb8b6d89d,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,40.47599983215332,1623494016.331,1623494056.807,147248dc-547c-4f32-a0c3-b5085dc44329,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.11400008201599,1623493997.332,1623494057.446,5429acdc-393e-46f2-ba1d-c752611f8964,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,48.58999991416931,1623494010.331,1623494058.921,7d90f1db-8870-424e-af90-91bc777310e6,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.14199995994568,1623493999.331,1623494059.473,f4105cd5-4f05-4b35-ac88-1f22f5ba0725,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,46.64999985694885,1623494013.331,1623494059.981,9085e135-ad8b-4b4f-aae2-4612f76af649,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,55.66799998283386,1623494004.331,1623494059.999,b3fc2684-6801-4a45-b6f7-8374918ee618,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,54.47199988365173,1623494007.331,1623494061.803,61943bda-a2b8-455c-b16f-41de7319e901,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,38.65299987792969,1623494023.331,1623494061.984,d02fd044-5233-4ab6-bd2f-0b85c5d86cc0,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.139999866485596,1623494003.334,1623494063.474,3473cbc4-7091-4a20-8b3f-46b92f848a11,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,42.31499981880188,1623494021.331,1623494063.646,2528f367-c68e-4f0d-8d04-969101fedeec,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,16.89299988746643,1623494048.331,1623494065.224,bcea3898-c7b5-4e4d-a88e-4166f8d1c9fe,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.11899995803833,1623494005.331,1623494065.45,9afca152-5c6f-491e-aa85-f38f5134983a,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,51.663999795913696,1623494014.331,1623494065.995,1d8051db-2b10-4abe-8374-5f675e9b571c,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13599991798401,1623494008.331,1623494068.467,1f5bb304-034d-4b3d-ad87-7ad45256ee98,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,57.66799998283386,1623494011.331,1623494068.999,d4f76ad7-7de9-4355-b629-8601ebe4b7da,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.13099980354309,1623494009.331,1623494069.462,6d790459-d642-4bb9-86ca-e1f763c4f52e,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.123000144958496,1623494012.333,1623494072.456,6d8d4a47-ef8c-4b6d-ae74-535736041335,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
502,60.11899995803833,1623494015.331,1623494075.45,64e7059d-8e02-463e-bac0-24ae340b483a,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
500,49.02499985694885,1623494027.331,1623494076.356,8c80ab06-3a4d-4ba3-806b-0eb11ed06e95,3,32107336n,671312Ki,46593505n,622164Ki,3999787873n,4155120Ki,70667u,657708Ki,49827947n,745256Ki,
