executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621019771.662563,1621019774.074721,2.4121580123901367,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.61299991607666,1621019771.467,1621019774.08,8ebbc5ff-f2a3-4916-9638-c01b4bf1bacf,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.19556307792663574
1621019773.379624,1621019775.7587535,2.379129648208618,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.5739998817443848,1621019773.134,1621019775.708,b8bc12f1-f2ac-407b-bc47-f13d16c6164b,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,400m,0.24562382698059082
1621019775.0708761,1621019777.512512,2.441635847091675,bbb8ad93-5449-439e-9bce-b098d5b567e1,1620965182,200,2.6449999809265137,1621019774.801,1621019777.446,20fb49cd-6de9-4823-bb59-6efb985b8d9d,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.26987600326538086
1621019776.7155173,1621019779.301916,2.5863986015319824,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.7899999618530273,1621019776.467,1621019779.257,daa6528b-cb38-4917-897f-4ff2630498c8,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.24851727485656738
1621019778.3738358,1621019780.7678676,2.3940317630767822,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.5839998722076416,1621019778.134,1621019780.718,d21e35e1-328f-4fcc-b645-3bbaffd79621,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.2398357391357422
1621019780.0459092,1621019782.5441399,2.4982306957244873,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.692999839782715,1621019779.801,1621019782.494,05177a9a-a5ca-4e91-8843-95e9dd195a6d,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.24490904808044434
1621019781.8045535,1621019784.146713,2.3421595096588135,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.628999948501587,1621019781.468,1621019784.097,8c190a27-1dc6-4305-8d51-81937a70caa6,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,600m,0.33655357360839844
1621019783.3292437,1621019785.7269878,2.3977441787719727,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.5980000495910645,1621019783.134,1621019785.732,59a0f9fb-0836-440f-8d5d-5456181b10bc,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,700m,0.19524359703063965
1621019785.0524065,1621019787.5492191,2.496812582015991,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.6999998092651367,1621019784.801,1621019787.501,46e10b78-9592-473a-9eff-27c2283f815b,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,700m,0.2514064311981201
1621019786.665323,1621019789.280919,2.615596055984497,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.828000068664551,1621019786.467,1621019789.295,a743d810-49bc-4c3d-a9bf-809e8bd81f04,3,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,700m,0.19832301139831543
